age,job,marital,education,race,default,balance,housing,contact,duration,contactndays,gender ,signed up
43,self-employed,married,tertiary,,no,64,no,unknown,230,-1,,0
74,retired,married,primary,,no,5539,no,cellular,253,181,,0
33,management,married,tertiary,,no,373,no,cellular,384,-1,,0
37,blue-collar,married,secondary,,no,934,no,unknown,258,-1,,0
30,technician,married,tertiary,,no,1,no,cellular,69,-1,,0
46,blue-collar,married,primary,,no,0,no,cellular,178,-1,,0
48,management,divorced,secondary,,no,635,no,unknown,236,-1,,0
38,management,married,tertiary,,no,630,no,cellular,362,388,,1
35,management,married,tertiary,,no,925,no,cellular,200,-1,,1
29,management,single,tertiary,,no,265,no,cellular,130,94,,1
36,services,divorced,secondary,,no,127,no,cellular,172,-1,,0
35,blue-collar,single,primary,,no,3798,no,unknown,19,-1,,0
54,management,married,unknown,,no,24,no,cellular,12,-1,,0
51,management,married,tertiary,,no,469,no,cellular,491,182,,1
41,technician,divorced,secondary,,no,195,no,cellular,260,-1,,0
26,entrepreneur,single,tertiary,,no,725,no,cellular,1916,189,,1
49,technician,divorced,tertiary,,no,0,no,cellular,68,-1,,0
40,blue-collar,divorced,secondary,,no,181,no,unknown,89,-1,,0
51,services,married,secondary,,no,276,no,cellular,217,-1,,0
59,retired,married,secondary,,no,242,no,cellular,17,-1,,0
60,housemaid,married,primary,,no,211,no,cellular,480,189,,0
46,services,married,tertiary,,no,474,no,unknown,445,-1,,0
46,blue-collar,married,primary,,no,642,no,unknown,110,-1,,0
49,blue-collar,married,primary,,no,923,no,unknown,471,-1,,0
31,student,single,unknown,,no,643,no,cellular,82,-1,,0
33,services,single,secondary,,no,189,no,unknown,27,-1,,0
42,technician,divorced,tertiary,,no,765,no,cellular,78,-1,,0
40,technician,divorced,secondary,,no,0,no,cellular,299,-1,,0
30,management,single,tertiary,,no,-672,no,cellular,130,-1,,0
40,technician,single,secondary,,no,2244,no,cellular,58,-1,,0
57,entrepreneur,married,secondary,,no,9902,no,cellular,88,-1,,0
57,unknown,single,secondary,,no,316,no,unknown,8,-1,,0
48,technician,married,secondary,,no,427,no,unknown,201,-1,,0
59,retired,married,tertiary,,no,941,no,cellular,231,210,,0
31,admin.,divorced,secondary,,no,2980,no,cellular,930,292,,0
32,management,single,tertiary,,no,26,no,cellular,55,-1,,0
56,admin.,married,secondary,,no,1694,no,cellular,793,-1,,1
55,management,married,tertiary,,no,913,no,unknown,462,-1,,0
35,unemployed,married,secondary,,no,978,no,cellular,1370,209,,1
60,retired,married,primary,,no,3,no,unknown,227,-1,,0
52,admin.,married,primary,,no,813,no,cellular,113,-1,,0
29,technician,single,secondary,,no,6,no,cellular,315,-1,,1
49,technician,married,primary,,no,1569,no,cellular,470,196,,0
57,management,divorced,unknown,,no,2986,no,cellular,222,231,,1
53,technician,married,secondary,,no,1738,no,cellular,168,-1,,0
27,blue-collar,single,tertiary,,no,644,no,cellular,657,182,,1
53,admin.,divorced,unknown,,no,257,no,cellular,1310,-1,,1
60,retired,married,secondary,,no,8332,no,cellular,279,194,,1
43,blue-collar,married,primary,,no,3917,no,cellular,725,93,,1
47,services,married,secondary,,no,-150,no,cellular,52,-1,,0
47,management,married,secondary,,no,2892,no,unknown,556,-1,,1
34,management,married,tertiary,,no,158,no,cellular,278,132,,1
36,unemployed,married,secondary,,no,923,no,unknown,6,-1,,0
56,admin.,married,secondary,,no,1671,no,cellular,158,-1,,0
63,retired,married,secondary,,no,1495,no,cellular,389,195,,1
29,student,single,tertiary,,no,3054,no,cellular,204,186,,0
42,management,married,tertiary,,no,976,no,cellular,164,-1,,1
38,management,single,tertiary,,no,194,no,cellular,561,-1,,0
70,retired,married,secondary,,no,2626,no,cellular,140,-1,,1
34,management,single,tertiary,,no,5086,no,cellular,213,-1,,1
45,technician,married,secondary,,no,297,no,cellular,210,-1,,0
47,unemployed,married,primary,,no,324,no,cellular,462,-1,,1
36,technician,married,secondary,,no,465,no,cellular,85,-1,,0
41,management,married,tertiary,,no,-195,no,cellular,112,-1,,0
30,services,married,secondary,,no,208,no,cellular,213,-1,,0
32,management,married,tertiary,,no,322,no,cellular,101,-1,,0
45,services,married,secondary,,yes,144,no,cellular,95,-1,,0
31,management,single,tertiary,,no,2915,no,cellular,228,86,,0
51,blue-collar,married,secondary,,no,700,no,cellular,237,-1,,0
31,technician,single,secondary,,no,1970,no,telephone,284,-1,,0
36,management,divorced,tertiary,,no,608,no,cellular,125,-1,,0
39,technician,married,tertiary,,no,206,no,cellular,148,195,,1
39,technician,married,tertiary,,no,386,no,cellular,201,-1,,0
53,unemployed,married,primary,,no,845,no,cellular,123,-1,,0
42,services,married,secondary,,no,0,no,unknown,118,-1,,0
38,management,single,tertiary,,no,0,no,cellular,95,-1,,0
30,admin.,married,secondary,,no,482,no,cellular,86,-1,,0
50,admin.,married,secondary,,no,761,no,cellular,273,-1,,0
28,self-employed,single,tertiary,,no,159,no,cellular,449,33,,1
82,housemaid,married,primary,,no,2140,no,telephone,118,-1,,0
43,blue-collar,married,secondary,,no,184,no,cellular,1019,-1,,1
49,blue-collar,married,secondary,,no,4259,no,cellular,146,111,,0
58,management,divorced,tertiary,,no,577,no,unknown,1244,-1,,0
43,management,divorced,tertiary,,no,2367,no,cellular,114,38,,1
51,technician,married,secondary,,no,117,no,cellular,467,88,,1
44,management,married,secondary,,no,488,no,cellular,138,183,,0
42,technician,married,secondary,,no,827,no,cellular,153,-1,,0
32,management,single,tertiary,,no,0,no,cellular,63,-1,,0
33,technician,married,secondary,,no,1026,no,cellular,87,1,,0
30,technician,single,secondary,,no,9645,no,cellular,130,-1,,0
54,technician,single,secondary,,no,224,no,cellular,134,-1,,0
38,blue-collar,married,secondary,,no,0,no,unknown,361,-1,,0
31,management,single,tertiary,,no,35,no,cellular,27,-1,,0
31,management,single,tertiary,,no,617,no,cellular,1161,97,,1
32,technician,single,tertiary,,no,388,no,cellular,250,-1,,1
46,blue-collar,married,secondary,,no,6215,no,unknown,155,-1,,0
28,management,single,tertiary,,no,1,no,cellular,86,-1,,0
29,unemployed,single,secondary,,no,323,no,cellular,151,-1,,0
55,housemaid,married,primary,,no,10,no,cellular,174,-1,,0
56,retired,married,primary,,no,842,no,unknown,108,-1,,0
55,unemployed,married,secondary,,no,377,no,cellular,403,183,,0
25,blue-collar,single,secondary,,yes,-220,no,cellular,152,-1,,0
73,retired,married,primary,,no,542,no,cellular,355,180,,1
59,housemaid,married,primary,,no,1071,no,unknown,140,-1,,0
38,management,married,tertiary,,no,1223,no,cellular,1092,-1,,1
33,management,single,tertiary,,no,1590,no,cellular,57,-1,,0
40,technician,married,tertiary,,no,99,no,cellular,220,364,,0
67,retired,divorced,secondary,,no,704,no,cellular,186,97,,1
41,unemployed,married,secondary,,no,5608,no,cellular,64,-1,,0
32,technician,married,secondary,,no,0,no,cellular,750,-1,,0
28,entrepreneur,single,tertiary,,no,16,no,cellular,48,-1,,0
44,services,divorced,secondary,,no,0,no,cellular,275,-1,,0
56,management,married,tertiary,,no,0,no,unknown,422,-1,,1
43,entrepreneur,married,tertiary,,no,396,no,unknown,105,-1,,0
36,management,married,tertiary,,no,5367,no,cellular,324,455,,0
43,retired,single,secondary,,no,53,no,telephone,305,-1,,0
